ID,NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M)
98749599999,DEL MONTE PLANTATION AIRSTRIP,RP,,RPMT,8.348,124.851,579.7
98751099999,MALAYBALAY,RP,,RPMY,8.15,125.133,627
98752099999,BUTUAN,RP,,RPME,8.95,125.483,46
98753099999,FRANCISCO BANGOY INTL,RP,,RPMD,7.126,125.646,29.3
98754099999,DAVAO,RP,,,7.067,125.6,19
98755099999,HINATUAN,RP,,,8.367,126.333,3
98830099999,JOLO,RP,,RPMJ,6.05,121,13
98836099999,ZAMBOANGA INTL,RP,,RPMZ,6.922,122.06,10.1
98848599999,ALLAH VALLEY,RP,,RPMA,6.367,124.751,200.9
98851041231,CUBI POINT NAVAL AIR STATION,RP,,RPMB,14.8,120.267,18.3
98851099999,GEN. SANTOS,RP,,RPMB,6.05,125.1,133
99999941224,SANGLEY POINT,RP,,RPMS,14.5,120.917,2.1
99999941225,SAN JOSE,RP,,,12.6,121,4
99999941226,LEYTE GULF NF,RP,,RLTE,11.067,125.033,4
99999941227,MANILA NF,RP,,,14.6,121,4
99999941228,MANILA NF,RP,,,14.6,121,32.9
99999941229,MANILA,RP,,,14.55,120.983,4
99999941230,OLONGAPO,RP,,ROLP,14.817,120.283,4
99999941231,CUBI POINT NF,RP,,RPLB,14.8,120.267,14
